,tconst,averageRating,numVotes
131723,tt0200954,3.7,938
131750,tt0201020,6.4,202
131859,tt0201275,7.6,56
131925,tt0201394,5.1,1535
131960,tt0201479,3.9,654
131964,tt0201485,5.3,9074
131979,tt0201519,6.9,37
132050,tt0201670,6.0,412
132059,tt0201694,2.5,1079
132074,tt0201726,4.6,337
132079,tt0201737,4.7,185
132080,tt0201739,8.0,20
132131,tt0201844,2.4,4267
132153,tt0201899,6.8,1579
132154,tt0201901,5.5,318
132173,tt0201934,4.6,74
132326,tt0202236,4.7,923
132355,tt0202294,7.2,68
132363,tt0202314,3.1,1294
132381,tt0202360,5.6,59
132401,tt0202402,5.4,11020
132429,tt0202452,4.1,49
132433,tt0202458,2.0,179
132440,tt0202470,6.3,43525
132452,tt0202487,7.7,24
132491,tt0202560,7.1,23
132527,tt0202618,7.9,20
132529,tt0202623,5.4,4808
132536,tt0202641,7.2,1685
132554,tt0202677,6.6,33687
132559,tt0202695,5.4,77
132569,tt0202711,6.4,920
132647,tt0202829,6.9,14
132660,tt0202856,6.4,189
132664,tt0202864,6.7,67
132724,tt0202989,4.5,689
132730,tt0203009,7.6,284388
132735,tt0203019,7.2,117101
132750,tt0203047,6.3,84
132755,tt0203053,5.5,872
132766,tt0203078,5.6,42
132792,tt0203119,7.3,61557
132803,tt0203144,6.5,17
132812,tt0203166,7.4,22918
132830,tt0203206,8.2,10
132842,tt0203230,7.5,30105
132855,tt0203253,8.8,9
132870,tt0203274,5.4,9
132878,tt0203289,6.6,1633
132884,tt0203297,5.2,547
132984,tt0203536,4.6,604
132986,tt0203540,6.8,6104
132998,tt0203580,3.7,273
133002,tt0203584,6.3,242
133028,tt0203632,7.4,14601
133088,tt0203755,6.2,30625
133117,tt0203830,4.7,292
133121,tt0203835,3.0,866
133145,tt0203912,5.3,93
133157,tt0203940,3.9,3037
133166,tt0203952,4.7,145
133177,tt0203975,4.7,3304
133258,tt0204137,6.6,13871
133276,tt0204175,5.4,16952
133312,tt0204250,2.1,696
133339,tt0204313,5.1,37021
133344,tt0204322,5.1,976
133357,tt0204350,4.9,1346
133358,tt0204352,6.6,94
133369,tt0204382,7.2,32
133478,tt0204619,4.7,77
133483,tt0204626,5.3,27344
133489,tt0204640,6.7,3211
133513,tt0204679,6.3,17
133523,tt0204698,7.4,42
133524,tt0204700,5.9,8200
133619,tt0204885,5.7,92
133642,tt0204932,7.3,3954
133643,tt0204933,4.5,156
133646,tt0204946,6.1,96704
133740,tt0205177,5.6,13620
133775,tt0205271,4.7,19730
133812,tt0205380,4.0,177
133817,tt0205391,7.2,11
133828,tt0205418,2.9,2829
133846,tt0205461,4.1,4380
133862,tt0205498,6.0,219
133868,tt0205513,7.7,8
133872,tt0205526,3.6,176
133933,tt0205729,3.8,54
133954,tt0205778,6.6,81
133994,tt0205873,7.2,16418
134024,tt0205936,5.2,240
134086,tt0206075,3.3,580
134091,tt0206088,6.2,342
134096,tt0206098,6.8,66
134103,tt0206113,6.3,1458
134139,tt0206184,4.9,299
134153,tt0206211,7.6,10
134161,tt0206223,4.2,145
134163,tt0206226,6.0,6154
134186,tt0206275,6.2,62275
134208,tt0206314,6.6,69834
134235,tt0206367,5.0,1183
134243,tt0206382,7.3,46
134252,tt0206395,4.7,17
134262,tt0206420,5.3,10592
134315,tt0206545,7.3,61
134350,tt0206608,6.2,188
134364,tt0206634,7.9,497582
134389,tt0206694,6.7,48
134414,tt0206742,6.4,2106
134427,tt0206762,6.2,1469
134431,tt0206771,5.1,90
134435,tt0206778,6.5,68
134463,tt0206836,7.3,20
134493,tt0206878,7.9,14
134510,tt0206917,6.1,15672
134517,tt0206926,5.6,5929
134537,tt0206963,7.2,5675
134576,tt0207036,5.1,662
134637,tt0207161,5.7,1435
134638,tt0207163,6.3,486
134658,tt0207198,6.7,3679
134660,tt0207201,6.4,207859
134692,tt0207271,6.2,9
134705,tt0207299,4.0,40
134726,tt0207333,5.1,866
134730,tt0207337,4.4,29
134759,tt0207377,4.6,885
134822,tt0207501,4.1,46
134833,tt0207524,6.8,3569
134867,tt0207585,5.9,723
134886,tt0207631,4.4,671
134887,tt0207635,6.5,61
134889,tt0207638,5.7,131
134936,tt0207745,4.6,252
134951,tt0207782,6.2,12
135033,tt0207988,6.0,411
135043,tt0208003,5.2,85872
135048,tt0208017,7.7,44
135061,tt0208037,4.7,409
135067,tt0208050,5.6,394
135088,tt0208092,8.3,848005
135126,tt0208167,6.1,24
135142,tt0208196,7.2,9913
135145,tt0208204,4.7,120
135181,tt0208298,7.1,1606
135216,tt0208376,5.8,14
135231,tt0208412,6.8,32
135272,tt0208491,4.6,760
135427,tt0208866,6.9,43
135432,tt0208874,6.9,24230
135436,tt0208883,6.1,100
135441,tt0208889,7.0,66
135446,tt0208899,5.5,179
135450,tt0208910,8.0,23
135451,tt0208911,6.3,1941
135468,tt0208942,4.4,178
135480,tt0208988,5.1,34754
135481,tt0208990,7.3,20175
135483,tt0208993,6.9,1429
135502,tt0209020,4.4,75
135509,tt0209037,6.9,3263
135531,tt0209077,5.8,29889
135533,tt0209080,8.1,11
135550,tt0209109,4.9,684
135568,tt0209144,8.4,1224504
135574,tt0209163,6.4,323579
135581,tt0209180,8.1,4623
135621,tt0209253,4.2,77
135635,tt0209279,5.4,174
135652,tt0209322,6.3,3441
135724,tt0209475,5.3,81450
135727,tt0209486,4.8,457
135898,tt0209941,6.1,89
135906,tt0209958,6.4,102999
135955,tt0210065,6.7,14026
135958,tt0210070,6.8,47264
135961,tt0210075,6.7,11078
135969,tt0210094,5.4,2772
135982,tt0210127,6.1,32
135996,tt0210149,6.0,705
136033,tt0210223,4.9,219
136061,tt0210299,7.2,3525
136089,tt0210357,6.7,257
136090,tt0210358,6.4,7093
136093,tt0210362,6.0,278
136104,tt0210382,5.8,9592
136155,tt0210470,6.7,67
136200,tt0210567,5.5,4100
136208,tt0210584,6.1,2407
136226,tt0210616,6.6,21704
136307,tt0210756,6.0,427
136314,tt0210776,6.0,40
136329,tt0210816,4.8,184
136391,tt0210930,5.2,241
136397,tt0210939,4.4,152
136402,tt0210945,7.8,214802
136406,tt0210952,5.7,94
136407,tt0210953,5.4,321
136468,tt0211070,7.1,35
136530,tt0211180,5.4,9
136531,tt0211181,4.8,37620
136574,tt0211279,7.5,20
136583,tt0211296,7.0,31
136590,tt0211309,6.5,480
136634,tt0211387,6.7,6554
136652,tt0211423,7.1,21
136661,tt0211436,4.0,8
136662,tt0211443,4.4,56441
136674,tt0211465,6.1,23993
136687,tt0211492,6.8,4499
136703,tt0211526,6.9,20
136769,tt0211661,5.9,1801
136796,tt0211718,7.2,2883
136919,tt0211915,8.3,751355
136925,tt0211933,6.5,76055
136929,tt0211938,5.7,12612
136931,tt0211941,5.5,1557
136934,tt0211946,7.2,14636
136963,tt0212048,4.4,314
136970,tt0212059,4.9,171
137004,tt0212132,7.3,3018
137033,tt0212215,6.2,256
137055,tt0212271,4.0,232
137064,tt0212292,6.7,226
137066,tt0212294,6.0,139
137068,tt0212298,7.0,106
137085,tt0212338,7.0,333818
137088,tt0212346,6.3,209532
137091,tt0212360,6.5,77
137097,tt0212380,6.2,8634
137162,tt0212495,5.0,273
137214,tt0212604,7.3,1935
137246,tt0212667,3.4,180
137278,tt0212712,7.4,57725
137281,tt0212719,5.8,124
137282,tt0212720,7.2,306991
137287,tt0212742,5.3,1759
137296,tt0212774,6.5,28
137313,tt0212815,7.3,4580
137318,tt0212826,7.0,5729
137321,tt0212830,5.2,6065
137336,tt0212867,4.9,1250
137339,tt0212873,7.3,103
137341,tt0212879,6.0,5754
137342,tt0212881,3.9,103
137358,tt0212910,5.8,1287
137383,tt0212974,6.5,4360
137389,tt0212985,6.8,274061
137447,tt0213113,3.8,76
137453,tt0213127,6.2,67
137458,tt0213149,6.2,331735
137480,tt0213203,6.1,12718
137482,tt0213205,6.1,124
137513,tt0213266,7.5,37
137598,tt0213446,5.0,474
137608,tt0213474,7.1,14
137622,tt0213528,7.6,12
137633,tt0213561,6.3,449
137646,tt0213582,6.3,55
